# Deep-sky objects listed by SkyFix Lab. Display only (CONVENTIONS 13.6).
#
# Written for this project. The object selection, types, names and one-line
# descriptions are SkyFix Lab's own; positions and V magnitudes come from Wikidata
# (CC0) and are cross-checked against SIMBAD and Corwin's NGC/IC positions by
# tools/starfield/dso.py, which refuses the build on a disagreement it cannot explain.
#
# Selection. All 110 Messier objects, and SkyFix Lab's own choice of NGC/IC objects not
# in Messier's list, by this rule (magnitudes as adopted in our table):
#   1. open clusters with an integrated V of 5.0 or brighter;
#   2. globular clusters with V 7.5 or brighter;
#   3. galaxies with V 9.5 or brighter (with the two Magellanic Clouds);
#   4. planetary nebulae with V 9.5 or brighter;
#   5. emission and reflection nebulae and supernova remnants at least 30' across that
#      have a common name (the Lobster Nebula, NGC 6357, is left out: Wikidata's position
#      is 22' from both references);
#   6. four naked-eye clusters outside the NGC and IC: the Hyades, the Alpha Persei
#      Cluster, the Coma Star Cluster and the Coathanger.
#
# Format: id | type | size | name | description | extra
#   id    M1..M110, NGC<n>, IC<n>, or a short name for the few objects outside the NGC/IC
#   type  oc open cluster, gc globular cluster, pn planetary nebula, en emission nebula,
#         rn reflection nebula, snr supernova remnant, cn cluster with nebula, sg spiral
#         galaxy, eg elliptical galaxy, lg lenticular galaxy, ig irregular galaxy,
#         ds double star, as asterism, sc star cloud
#   size  apparent size in arcminutes, "major x minor" or one number, as commonly quoted
#         for the eye or a small telescope; blank = SIMBAD's, rounded (dso.py). Written
#         here where SIMBAD has none or gives a cluster's full extent (M21, M36, NGC 2362
#         and others) instead of what is seen.
#   name  common name, or blank
#   description  one line in our own words, or blank (the app then says "Open cluster
#         in Cassiopeia" and so on)
#   extra ';'-separated: ngc= other NGC/IC numbers (cross-identification), wikidata=
#         Wikidata item (objects without a Messier/NGC/IC code), simbad= SIMBAD
#         identifier when it differs, v= adopted V when Wikidata has none or a wrong
#         one (with vsrc= where it came from), corwin=none when Corwin has no position

# --- The Messier catalogue ---
M1   | snr | | Crab Nebula | The remnant of a supernova seen in 1054, with a pulsar at its centre | ngc=NGC 1952
M2   | gc | | | One of the larger and brighter globular clusters | ngc=NGC 7089
M3   | gc | | | A bright globular cluster rich in variable stars | ngc=NGC 5272
M4   | gc | | | One of the nearest globular clusters, just west of Antares | ngc=NGC 6121
M5   | gc | | | A large, bright and very old globular cluster | ngc=NGC 5904
M6   | oc | | Butterfly Cluster | An open cluster whose stars outline a butterfly | ngc=NGC 6405
M7   | oc | | Ptolemy Cluster | A bright open cluster known since antiquity | ngc=NGC 6475
M8   | en | 90x40 | Lagoon Nebula | A star-forming nebula visible to the naked eye | ngc=NGC 6523
M9   | gc | | | A globular cluster near the centre of the Galaxy | ngc=NGC 6333
M10  | gc | | | A bright globular cluster in Ophiuchus | ngc=NGC 6254
M11  | oc | 14 | Wild Duck Cluster | One of the richest and most compact open clusters | ngc=NGC 6705
M12  | gc | | | A loose globular cluster, a neighbour of M10 | ngc=NGC 6218
M13  | gc | | Hercules Cluster | The finest globular cluster in the northern sky | ngc=NGC 6205
M14  | gc | | | A globular cluster in Ophiuchus | ngc=NGC 6402
M15  | gc | | | A dense globular cluster with a collapsed core | ngc=NGC 7078
M16  | cn | 35x28 | Eagle Nebula | A young cluster in the nebula of the Pillars of Creation | ngc=NGC 6611
M17  | en | 11 | Omega Nebula | A bright star-forming nebula, also called the Swan | ngc=NGC 6618
M18  | oc | 9 | | A small open cluster between M17 and M24 | ngc=NGC 6613
M19  | gc | | | An oblate globular cluster near the Galactic centre | ngc=NGC 6273
M20  | en | | Trifid Nebula | An emission and reflection nebula split by dark lanes | ngc=NGC 6514
M21  | oc | 13 | | A young open cluster beside the Trifid Nebula | ngc=NGC 6531
M22  | gc | | | One of the brightest and nearest globular clusters | ngc=NGC 6656
M23  | oc | | | A large open cluster in Sagittarius | ngc=NGC 6494
M24  | sc | 120x60 | Sagittarius Star Cloud | A window through the dust onto a distant arm of the Galaxy | ngc=IC 4715; corwin=none
M25  | oc | | | A bright open cluster in Sagittarius | ngc=IC 4725; corwin=none
M26  | oc | 15 | | A small open cluster in Scutum | ngc=NGC 6694
